sku,name,description,price,Product Category,terms,section,Promotion,Sales Volume
272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,Clothing,jackets,MAN,No,2823
324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,Clothing,jackets,MAN,No,654
335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,Clothing,jackets,MAN,Yes,2220
328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,Clothing,jackets,MAN,Yes,1568
312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,Clothing,jackets,MAN,No,2942
320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,Clothing,jackets,MAN,No,2968
278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,Clothing,jackets,MAN,Yes,952
322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,Clothing,jackets,MAN,No,2421
313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,Clothing,jackets,MAN,Yes,1916
312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,Clothing,jackets,MAN,No,656
316207900-710-2,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129.0,Clothing,jackets,MAN,Yes,2663
329186122-800-2,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159.0,Clothing,jackets,MAN,Yes,1260
311297791-800-2,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169.0,Clothing,jackets,MAN,Yes,2124
323134418-800-3,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439.0,Clothing,jackets,MAN,Yes,729
311297555-706-2,FAUX LEATHER BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.,99.9,Clothing,jackets,MAN,Yes,2265
317012940-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.,99.9,Clothing,jackets,MAN,No,2226
311292672-800-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,69.9,Clothing,jackets,MAN,No,2089
321496837-400-3,DENIM BOMBER JACKET,Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.,129.0,Clothing,jackets,MAN,Yes,2339
316205038-615-2,BOUCLÉ TEXTURED JACKET,Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.,129.0,Clothing,jackets,MAN,No,2321
322972473-052-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,Clothing,jackets,MAN,No,669
313845662-400-3,JACQUARD DENIM JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Patch pockets with flaps at chest and side pockets at hip. Front hidden button closure.,109.0,Clothing,jackets,MAN,Yes,1712
320264577-800-2,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,89.9,Clothing,jackets,MAN,No,1832
315529534-705-3,LEATHER JACKET,Relaxed fit jacket in leather. Spread collar and long sleeves with slit cuffs with button closure. Patch pockets at hip. Back vents. Front button closure.,299.0,Clothing,jackets,MAN,Yes,1290
320423517-800-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,Clothing,jackets,MAN,No,2356
328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,Clothing,jackets,MAN,Yes,1524
311309526-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,69.9,Clothing,jackets,MAN,Yes,1644
311287528-811-2,PATCH BOMBER JACKET,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,Clothing,jackets,MAN,No,966
342657802-914-2,STRETCH POCKET OVERSHIRT,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,59.9,Clothing,jackets,MAN,Yes,2575
316207898-712-2,RIB COLLAR JACKET,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,109.0,Clothing,jackets,MAN,No,2774
321496761-800-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,159.0,Clothing,jackets,MAN,Yes,2477
311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,129.0,Clothing,jackets,MAN,No,2608
317129011-500-2,PATCH BOMBER JACKET,Varsity jacket with padded interior. Rib elastic collar and long sleeves in contrast faux leather. Double welt pockets at hip and interior pocket. Contrasting patch appliqués at front and back. Rib trim. Front snap button closure.,129.0,Clothing,jackets,MAN,Yes,2252
330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,129.0,Clothing,jackets,MAN,Yes,2074
311297855-800-2,FAUX LEATHER PUFFER JACKET,Faux leather jacket with padded interior. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip and interior pocket. Elastic hem. Front zip hidden by a snap button flap.,109.0,Clothing,jackets,MAN,Yes,2579
317782474-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. Rib elastic collar and long sleeves. Zip pockets with flaps at hip. Interior pocket. Elastic hem. Front zip closure.,109.0,Clothing,jackets,MAN,Yes,2931
315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,109.0,Clothing,jackets,MAN,No,1145
311302863-800-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,Clothing,jackets,MAN,No,1792
311282759-806-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Rib elastic collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,69.9,Clothing,jackets,MAN,No,1796
323134415-700-3,SUEDE JACKET,Jacket made of suede. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,349.0,Clothing,jackets,MAN,No,1860
312372582-526-2,CONTRASTING COLLAR JACKET,Jacket with lightly padded interior. Contrasting lapel collar. Long sleeves with buttoned cuffs. Washed effect. Double welt pockets at chest and hip. Front zip closure.,79.9,Clothing,jackets,MAN,Yes,1002
321143726-712-2,TEXTURED JACKET,Jacket made of textured fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at chest and hidden pockets at hip. Side vents at hem. Front button closure.,79.9,Clothing,jackets,MAN,No,2063
320220949-507-2,CROPPED TEXTURED JACKET,Jacket made of dense cotton fabric cut on the bias. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Cropped length. Front zip closure.,89.9,Clothing,jackets,MAN,No,1165
312664937-514-2,POCKET PUFFER JACKET,Quilted jacket made of technical fabric. High collar and long sleeves. Flap pocket at chest and hidden in-seam pockets at side hip. Interior pocket. Interior elastic hem. Cropped length. Front zip closure.,129.0,Clothing,jackets,MAN,Yes,2071
321143723-401-2,TECHNICAL JACKET WITH POCKETS,Jacket made of technical fabric with quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Rib trim. Front button closure.,109.0,Clothing,jackets,MAN,No,1474
311297763-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip. Front snap button closure.,69.9,Clothing,jackets,MAN,No,2202
311292194-731-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,Clothing,jackets,MAN,No,665
335663355-406-2,RIPPED DENIM JACKET,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,69.9,Clothing,jackets,MAN,No,2478
312363708-800-2,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,Clothing,jackets,MAN,Yes,647
312320664-251-2,FAUX SUEDE PATCH JACKET,Varsity jacket made of faux suede fabric. Lapel collar and long sleeves. Double welt pockets at hip and interior pocket. Front contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,Clothing,jackets,MAN,Yes,707
311302445-445-97,PUFFER JACKET WITH POUCH POCKET,Jacket made of technical fabric with padded interior. High collar with front zip closure and long sleeves with elastic strap cuffs. Front and back contrast embroidered text. Zip pockets at hip. Adjustable elastic strap at hem with side zippers and strap.,89.9,Clothing,jackets,MAN,Yes,2729
323216370-422-97,BOMBER JACKET,Boxy bomber jacket. Rib elastic collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,89.9,Clothing,jackets,MAN,No,1590
317107014-707-2,TEXTURED WEAVE OVERSHIRT,Relaxed fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Side hidden in-seam pockets. Front button closure.,89.9,Clothing,jackets,MAN,Yes,1245
328594167-800-46,STRAIGHT SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Central back vent at hem. Front button closure.,129.0,Clothing,jackets,MAN,No,2498
311309598-711-2,HOODED QUILTED JACKET,Puffer jacket with high collar and adjustable hood. Long sleeves with interior rib cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,129.0,Clothing,jackets,MAN,No,1041
267133943-711-2,LIGHTWEIGHT PUFFER JACKET,Padded jacket made of technical fabric. High collar and long sleeves. Welt pockets at hip. Elasticized trim. Front zip closure.,19.99,Clothing,jackets,MAN,No,1717
318265017-401-2,COTTON BLEND BOMBER JACKET,Jacket made of cotton blend fabric. High collar and long sleeves. Welt pockets at hip. Rib trim. Cropped length. Front zip closure.,89.9,Clothing,jackets,MAN,Yes,2859
322410604-401-2,POCKET JACKET,Jacket made of dense technical fabric. Lapel collar and long sleeves with buttoned cuffs. Multi-functional front pockets. Front zip hidden by a snap button flap.,129.0,Clothing,jackets,MAN,Yes,1658
324149982-982-2,OVERSIZED BOMBER JACKET,Oversized jacket made of technical fabric. High collar and long sleeves with pocket detail. Welt pockets at hip and interior pocket. Rib trim. Adjustable asymmetric hem with side zippers. Front zip closure.,89.9,Clothing,jackets,MAN,No,706
320531693-707-2,EMBROIDERED PATCH JACKET,Roomy jacket made of lightweight fabric. Lapel collar and long sleeves with elastic cuffs. Contrasting patch appliqués with embroidery at front and back. Front pouch pocket. Elastic hem. Front zip closure.,79.9,Clothing,jackets,MAN,Yes,2065
328279967-409-3,ACID WASH DENIM JACKET,Jacket made of cotton denim. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at chest and side pockets at hip. Washed effect. Front zip closure.,89.9,Clothing,jackets,MAN,No,1917
320774184-800-97,VINTAGE EFFECT LEATHER BOMBER JACKET,,299.0,Clothing,jackets,MAN,Yes,2179
322972491-800-2,TEXTURED DENIM JACKET LIMITED EDITION,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed and uneven textured effect. Front button closure.,89.9,Clothing,jackets,MAN,No,1633
321501682-800-2,WOOL BLEND JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109.0,Clothing,jackets,MAN,Yes,1513
328616906-712-2,COTTON - LINEN BLEND JACKET,Jacket made of cotton and linen blend fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Elastic hem. Front zip closure.,109.0,Clothing,jackets,MAN,Yes,758
311292541-802-2,FLEECE BOMBER JACKET,Jacket made of faux shearling fabric. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,109.0,Clothing,jackets,MAN,Yes,718
319205114-807-2,ZIPPERED JACKET,Lapel collar jacket with long sleeves. Front pouch pockets. Front zip closure.,59.9,Clothing,jackets,MAN,No,1412
276213846-500-2,COTTON JACKET,Lapel collar jacket with long sleeves with elastic cuffs. Patch pockets at hip. Elastic hem. Front snap button closure.,29.99,Clothing,jackets,MAN,No,2929
328244979-064-48,WOOL BLEND TEXTURED JACKET,Jacket made of wool blend fabric. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Back vents. Front double breasted button closure.,189.0,Clothing,jackets,MAN,Yes,2366
323050745-798-97,CONTRAST JACQUARD JACKET,Full cut jacket with lapel collar and long sleeves. Front button closure.,89.9,Clothing,jackets,MAN,No,2749
319166635-401-2,CROPPED OVERSHIRT,Cropped overshirt made of contrast double faced fabric. Lapel collar and long sleeves with buttoned cuffs. Chest patch pocket. Adjustable hem with side elastics. Front button closure partially hidden by a flap.,69.9,Clothing,jackets,MAN,No,2019
311297489-800-2,CONTRASTING PATCHES HOODED JACKET,Varsity jacket with stretchy collar and contrasting hood. Long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,109.0,Clothing,jackets,MAN,No,1506
311292073-709-2,UTILITY POCKET JACKET,Cropped jacket. Lapel collar and long sleeves. Front utility pockets with zip closure. Washed effect. Elastic hem. Adjustable hem with side elastics. Front zip closure.,109.0,Clothing,jackets,MAN,No,1012
336378923-700-2,,,129.0,Clothing,jackets,MAN,Yes,1838
311292572-401-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,Clothing,jackets,MAN,Yes,2170
336821611-706-2,WOOL BLEND JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Chest patch pockets and welt pockets at hip. Front button closure.,139.0,Clothing,jackets,MAN,No,1061
311307584-518-2,TECHNICAL PADDED JACKET,Jacket made of technical fabric with padded interior. High collar with foldable interior hood. Long sleeves with interior rib cuffs. Front pockets with hidden zip closure and interior pocket detail. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,139.0,Clothing,jackets,MAN,Yes,786
321151893-609-2,MIXED COLLAR WAXED JACKET,Jacket made of waxed finish fabric with lightly padded interior. Contrast fabric lapel collar. Long sleeves. Patch pockets at hip. Interior pocket. Slightly cropped length. Front hidden zip and button closure.,139.0,Clothing,jackets,MAN,No,1094
311297509-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,89.9,Clothing,jackets,MAN,Yes,2220
315947178-800-2,PADDED BOMBER JACKET,Quilted jacket made of technical fabric. Lapel collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,89.9,Clothing,jackets,MAN,No,2048
311297745-800-2,TECHNICAL PADDED JACKET,Jacket made of technical fabric with padded interior. Lapel collar and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable drawstring hem. Front snap button closure.,89.9,Clothing,jackets,MAN,No,2578
330290360-427-3,POCKET DENIM JACKET,Slightly cropped denim jacket. Lapel collar and long sleeves with buttoned cuffs. Flap patch pocket at chest and side hip. Washed effect. Front button closure.,89.9,Clothing,jackets,MAN,Yes,2040
320449897-427-2,BOXY FIT DENIM JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at hip. Washed effect.Asymmetric hem with side vents. Front button closure.,89.9,Clothing,jackets,MAN,No,2791
311297724-700-97,FAUX SHEARLING PLAID JACKET,Jacket made of faux shearling fabric. V-neckline and long sleeves with elastic cuffs. Lined interior with structured mesh fabric. Welt pockets at hip. Adjustable hem with side elastics. Front snap button closure.,89.9,Clothing,jackets,MAN,Yes,1249
328332050-700-97,EMBROIDERED FOREST JACKET,Jacket with lightly padded interior. Corduroy lapel collar. Long sleeves. Patch pockets at hip. Front button closure.,89.9,Clothing,jackets,MAN,Yes,2273
311282469-505-2,POCKET OVERSHIRT,Cropped overshirt. Lapel collar and long sleeves with buttoned cuffs. Front patch pockets. Irregular finished seams. Front button closure.,89.9,Clothing,jackets,MAN,Yes,1773
319502128-515-2,BOUCLE TEXTURED VEST,Vest made of viscose and wool blend fabric. V-neckline. Patch pockets at hip. Front zip closure.,69.9,Clothing,jackets,MAN,Yes,1733
311287226-472-2,COLOR BLOCK PUFFER JACKET,Jacket made of technical fabric with padded interior. High collar and long sleeves with elastic cuffs. Front pockets with hidden zip closure. Elastic hem. Front zip closure.,89.9,Clothing,jackets,MAN,Yes,2060
316683359-818-2,LONGLINE QUILTED JACKET,Parka made of technical fabric with padded interior. High collar with removable hood. Long sleeves with interior elastic cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Adjustable interior waistband with drawstring. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,169.0,Clothing,jackets,MAN,No,2849
322901350-800-46,WOOL BLEND SUIT JACKET,Straight fit jacket made of wool blend fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pockets at chest and flap pockets at hip. Interior pocket. Central vent at back hem. Front button closure.,169.0,Clothing,jackets,MAN,Yes,2277
322929313-802-97,HOODED KNIT CARDIGAN,Cotton knit jacket. Hooded collar and long sleeves. Rib trim. Front pouch pockets. Rib trim. Front zip closure.,69.9,Clothing,jackets,MAN,No,1135
267186163-643-2,HOODED TECHNICAL JACKET,Jacket made of technical fabric with brushed interior. High collar with adjustable hood. Long sleeves with cuffs and adhesive straps. Zip pockets at chest and hip. Front zip closure.,19.99,Clothing,jackets,MAN,No,1770
329706743-401-46,HOUNDSTOOTH SUIT JACKET,Straight fit blazer. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,139.0,Clothing,jackets,MAN,No,730
321496813-710-2,BOMBER JACKET,Jacket with padded interior. Rib elastic collar and long sleeves. Flap pockets at hip and interior pocket. Rib trim. Front zip closure.,109.0,Clothing,jackets,MAN,No,1525
312596416-800-2,HOODED TECHNICAL JACKET,Cropped jacket made of technical fabric. Hooded high collar and long sleeves with adjustable snap button cuffs. Front patch pockets with flaps at hips. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,109.0,Clothing,jackets,MAN,No,647
311287132-251-2,HOODED TECHNICAL JACKET,Jacket made of technical fabric. High collar with adjustable drawstring hood. Long sleeves with rib cuffs. Chest welt pocket and hip patch pockets. Interior pocket. Adjustable hem with elastics at sides. Front zip hidden by a snap button flap.,109.0,Clothing,jackets,MAN,Yes,1017
323675323-700-2,WASHED EFFECT BOMBER JACKET,Jacket made of technical fabric. Lapel collar and long sleeves with pocket detail. Welt pockets at hip and interior pocket. Washed effect. Elasticized trim. Front zip hidden by a snap button flap.,109.0,Clothing,jackets,MAN,No,1622
323672371-507-2,WASHED TECHNICAL JACKET,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,99.9,Clothing,jackets,MAN,Yes,2553
327116625-505-2,100% FEATHER FILL PUFFER JACKET,Puffer vest made of technical fabric. Fill is a blend of 60% down and 40% feather. Sleeveless design with high collar. Zip pockets at hip and interior pocket. Adjustable hem with side elastics. Front snap button closure.,89.9,Clothing,jackets,MAN,No,2347
311302424-409-2,PADDED BOMBER JACKET,Jacket made of technical fabric with lightly padded interior. Rib elastic collar and long sleeves. Zip pockets at hip. Elastic hem. Front zip closure.,69.9,Clothing,jackets,MAN,No,2535
329158644-605-2,POCKET JACKET,Regular fit jacket with lapel collar and long sleeves. Patch pockets at chest and hip. Front button closure.,139.0,Clothing,jackets,MAN,No,2839
329300083-705-48,SLIM FIT SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,139.0,Clothing,jackets,MAN,Yes,2801
323212374-510-2,MIXED COLLAR JACKET,Jacket made of technical fabric with lightly padded interior. Rib high collar. Long sleeves with elastic cuffs. Patch pockets at hip. Front zip closure.,109.0,Clothing,jackets,MAN,Yes,628
322547863-811-2,HOODED DENIM JACKET,Boxy fit jacket. High collar with adjustable hood and long sleeves with buttoned cuffs. Patch pockets with flaps at chest. Front straps with multi-functional ring. Washed effect. Front hidden zip and snap button closure.,129.0,Clothing,jackets,MAN,Yes,1448
320600266-745-2,WAXED EFFECT PLAID JACKET,Cropped jacket made of cotton with waxed finish. Lapel collar and long adjustable cuffed sleeves. Welt pockets at hip and interior pocket. Adjustable front drawcord hem. Front zip closure.,169.0,Clothing,jackets,MAN,Yes,1401
320771732-800-2,WOOL BLEND FELT TEXTURE JACKET,Cropped jacket made with wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front hidden button closure.,159.0,Clothing,jackets,MAN,Yes,2185
289179723-020-2,PRINTED DENIM OVERSHIRT,Boxy fit overshirt. Lapel collar and short sleeves. Front snap button closure.,12.99,Clothing,jackets,MAN,Yes,2135
327747299-800-2,STRUCTURED TWILL OVERSHIRT,Regular fit overshirt made of 22% wool fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Side vents at hem. Front button closure.,89.9,Clothing,jackets,MAN,Yes,1269
317782501-701-2,COTTON OVERSHIRT,Relaxed fit overshirt made with cotton fabric. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and side hip pockets. Front button closure.,89.9,Clothing,jackets,MAN,No,2805
311282298-099-2,REVERSIBLE PLAID OVERSHIRT,Relaxed fit reversible overshirt. Italian collar and long sleeves with buttoned cuffs. Chest patch pocket. Front button closure.,79.9,Clothing,jackets,MAN,Yes,1796
